spp_author,Species,BEs
"Simophis rhinostoma (Schlegel, 1837)",Simophis rhinostoma,3
"Xenodon nattereri (Steindachner, 1867)",Xenodon nattereri,3
"Amphisbaena carli Pinna et al., 2010",Amphisbaena carli,4
"Amphisbaena persephone* Pinna et al., 2014",Amphisbaena persephone*,4
"Leposternon maximus Ribeiro et al., 2011",Leposternon maximus,4
Oreobates antrum* Vaz-Lima et al. 2018,Oreobates antrum*,4
"Phalotris cerradensis* Silveira, 2020",Phalotris cerradensis*,4
"Psilops seductus* Rodrigues et al., 2017",Psilops seductus*,4
"Scinax goya* (Andrade et al., 2018)",Scinax goya*,4
"Ameivula cipoensis* Arias et al., 2014a",Ameivula cipoensis*,5
"Bokermannohyla sagarana Leite et al., 2011",Bokermannohyla sagarana,5
"Calassomys apicalis Pardiñas et al., 2014",Calassomys apicalis,5
"Gymnodactylus guttulatus Vanzolini, 1982",Gymnodactylus guttulatus,5
"Pseudopaludicola mineira* Lobo, 1994",Pseudopaludicola mineira*,5
"Scinax cabralensis Drummond et al., 2007",Scinax cabralensis,5
"Tropidophis preciosus Curcio et al., 2012",Tropidophis preciosus,5
"Allobates brunneus (Cope, 1887)",Allobates brunneus,6
"Ameerega braccata (Steindachner, 1864)",Ameerega braccata,6
"Amphisbaena brevis Strüssmann & Mott, 2009",Amphisbaena brevis,6
"Amphisbaena neglecta Dunn & Piatt, 1936",Amphisbaena neglecta,6
"Apostolepis lineata Cope, 1887",Apostolepis lineata,6
"Monodelphis sanctaerosae Voss et al., 2012",Monodelphis sanctaerosae,6
"Hylaeamys acritus (Emmons & Patton, 2005)",Hylaeamys acritus,7
"Juscelinomys huanchacae Emmons, 1999",Juscelinomys huanchacae,7
Melanopareia bitorquata Lopes & Gonzaga 2016,Melanopareia bitorquata,7
"Sporophila nigrorufa (d'Orbigny & Lafresnaye, 1837)",Sporophila nigrorufa,7
"Tropidurus callathelys Harvey & Gutberlet, 1998",Tropidurus callathelys,7
"Tropidurus chromatops Harvey & Gutberlet, 1998",Tropidurus chromatops,7
"Apostolepis cerradoensis Lema, 2003",Apostolepis cerradoensis,8
"Atractus edioi Silva Jr. et al., 2005",Atractus edioi,8
"Boana ericae (Caramaschi & Cruz, 2000)",Boana ericae,8
"Leptodactylus tapiti Sazima & Bokermann, 1978",Leptodactylus tapiti,8
"Scinax rupestris* Araújo-Vieira et al., 2015",Scinax rupestris*,8
"Atractus spinalis Passos et al., 2013",Atractus spinalis,9
"Phyllomys brasiliensis Lund, 1840",Phyllomys brasiliensis,9
"Physalaemus claptoni*  Leal et al., 2020",Physalaemus claptoni*,9
"Placosoma cipoense Cunha, 1966",Placosoma cipoense,9
"Scinax pinimus (Bokermann & Sazima, 1973)",Scinax pinimus,9
"Boana lundii (Burmeister, 1856)",Boana lundii,10
"Callithrix penicillata (Geoffroy, 1812)",Callithrix penicillata,10
"Dendropsophus rubicundulus (Reinhardt & Lütken, 1862)",Dendropsophus rubicundulus,10
"Poospiza cinerea Bonaparte, 1850",Poospiza cinerea,10
"Rhinella rubescens (Lutz, 1925)",Rhinella rubescens,10
"Amphisbaena absaberi (Strüssmann & Carvalho, 2001)",Amphisbaena absaberi,11
"Apostolepis christineae Lema, 2002",Apostolepis christineae,11
"Helicops boitata* Moraes-da-Silva et al., 2019",Helicops boitata*,11
"Liotyphlops taylori* Marra-Santos & Reis, 2018",Liotyphlops taylori*,11
"Enyalius capetinga* Breitman et al., 2018",Enyalius capetinga*,12
"Juscelinomys candango Moojen, 1965",Juscelinomys candango,12
"Microakodontomys transitorius Hershkovitz, 1993",Microakodontomys transitorius,12
"Ameiva jacuba Giugliano et al., 2013",Ameiva jacuba,13
"Dendropsophus araguaya (Napoli & Caramaschi, 1998)",Dendropsophus araguaya,13
Pseudopaludicola ibisoroca* Pansonato et al. 2016,Pseudopaludicola ibisoroca*,13
"Aplastodiscus lutzorum* Berneck et al., 2017",Aplastodiscus lutzorum*,14
"Boana goiana (Lutz, 1968)",Boana goiana,14
"Scinax skaios Pombal et al., 2010",Scinax skaios,14
"Bokermannohyla pseudopseudis (Miranda-Ribeiro, 1937)",Bokermannohyla pseudopseudis,15
"Euryoryzomys lamia (Thomas, 1901)",Euryoryzomys lamia,15
"Pithecopus oreades (Brandão, 2002)",Pithecopus oreades,15
"Bokermannohyla sapiranga Brandão et al., 2012",Bokermannohyla sapiranga,16
"Proceratophrys salvatori (Caramaschi, 1996)",Proceratophrys salvatori,16
"Scinax centralis Pombal & Bastos, 1996",Scinax centralis,16
"Boana jaguariaivensis Caramaschi et al., 2010",Boana jaguariaivensis,17
"Oxymycterus itapeby Peçanha et al., 2019",Oxymycterus itapeby,17
Scinax rossaferesae* Conte et al. 2016,Scinax rossaferesae*,17
"Ameiva parecis (Colli et al., 2003)",Ameiva parecis,18
"Apostolepis striata Lema, 2004",Apostolepis striata,18
"Bachia didactyla Freitas et al., 2011",Bachia didactyla,18
"Calomys tocantinsi Bonvicino et al., 2003",Calomys tocantinsi,19
"Paroaria baeri Hellmayr, 1907",Paroaria baeri,19
"Synallaxis simoni Hellmayr, 1907",Synallaxis simoni,19
"Micrurus tricolor Hoge, 1956",Micrurus tricolor,20
"Rhinella scitula (Caramaschi & Niemeyer, 2003)",Rhinella scitula,20
"Xenodon matogrossensis (Scrocchi & Cruz, 1993)",Xenodon matogrossensis,20
"Knipolegus franciscanus Snethlage, 1928",Knipolegus franciscanus,21
"Rhinella inopina Vaz-Silva et al., 2012",Rhinella inopina,21
"Trachycephalus mambaiensis Cintra et al., 2009",Trachycephalus mambaiensis,21
"Dendropsophus anataliasiasi (Bokermann, 1972)",Dendropsophus anataliasiasi,22
"Leptodactylus pustulatus (Peters, 1870)",Leptodactylus pustulatus,22
"Pseudis tocantins Caramaschi & Cruz, 1998",Pseudis tocantins,22
