"class","family","genus","species","range","year","New","IUCN","elev_class"
"Lizards","Amphisbaenidae","Amphisbaena","Amphisbaena leeseri","Restricted",1964,"n","-","depression"
"Lizards","Amphisbaenidae","Amphisbaena","Amphisbaena maranhensis","Restricted",2012,"n","-","depression"
"Lizards","Amphisbaenidae","Amphisbaena","Amphisbaena mebengokre*","Restricted",2019,"s","-","depression"
"Lizards","Amphisbaenidae","Amphisbaena","Amphisbaena neglecta","Restricted",1936,"n","-","plateau"
"Lizards","Amphisbaenidae","Amphisbaena","Amphisbaena persephone*","Restricted",2014,"s","-","plateau"
"Lizards","Amphisbaenidae","Amphisbaena","Amphisbaena sanctaeritae","Restricted",1994,"n","-","plateau"
"Lizards","Amphisbaenidae","Amphisbaena","Amphisbaena saxosa","Restricted",2003,"n","-","depression"
"Lizards","Amphisbaenidae","Amphisbaena","Amphisbaena silvestrii","Partial",1902,"n","-","depression"
"Lizards","Amphisbaenidae","Amphisbaena","Amphisbaena steindachneri","Restricted",1881,"n","-","depression"
"Lizards","Amphisbaenidae","Amphisbaena","Amphisbaena talisiae","Partial",1995,"n","-","general"
"Lizards","Dactyloidae","Anolis","Anolis meridionalis","Wide",1885,"n","-","depression"
"Aves","Tyrannidae","Antilophia","Antilophia galeata","Wide",1823,"s","LC","general"
"Amphibians","Hylidae","Aplastodiscus","Aplastodiscus lutzorum*","Restricted",2017,"s","-","plateau"
"Snakes","Dipsadidae","Apostolepis","Apostolepis adhara*","Restricted",2018,"s","-","depression"
"Snakes","Dipsadidae","Apostolepis","Apostolepis albicollaris","Restricted",2002,"n","-","plateau"
"Snakes","Dipsadidae","Apostolepis","Apostolepis assimilis*","Partial",1861,"s","-","plateau"
"Snakes","Dipsadidae","Apostolepis","Apostolepis barrioi*","Partial",1978,"s","-","general"
"Snakes","Dipsadidae","Apostolepis","Apostolepis cerradoensis","Restricted",2003,"n","-","depression"
"Snakes","Dipsadidae","Apostolepis","Apostolepis christineae","Restricted",2002,"n","-","depression"
"Snakes","Dipsadidae","Apostolepis","Apostolepis flavotorquata","Partial",1854,"n","-","general"
"Snakes","Dipsadidae","Apostolepis","Apostolepis goiasensis","Partial",1942,"n","DD","general"
"Snakes","Dipsadidae","Apostolepis","Apostolepis intermedia","Partial",1898,"n","-","depression"
"Snakes","Dipsadidae","Apostolepis","Apostolepis kikoi*","Restricted",2018,"s","-","depression"
"Snakes","Dipsadidae","Apostolepis","Apostolepis lineata","Restricted",1887,"n","-","plateau"
"Snakes","Dipsadidae","Apostolepis","Apostolepis longicaudata","Restricted",1921,"n","-","depression"
"Snakes","Dipsadidae","Apostolepis","Apostolepis nelsonjorgei","Partial",2004,"n","-","depression"
"Snakes","Dipsadidae","Apostolepis","Apostolepis phillipsae*","Restricted",1999,"s","VU","depression"
"Snakes","Dipsadidae","Apostolepis","Apostolepis polylepis","Partial",1921,"n","DD","depression"
"Snakes","Dipsadidae","Apostolepis","Apostolepis sanctaeritae*","Partial",2005,"s","-","general"
"Snakes","Dipsadidae","Apostolepis","Apostolepis serrana","Restricted",2006,"n","-","depression"
"Snakes","Dipsadidae","Apostolepis","Apostolepis striata","Restricted",2004,"n","-","plateau"
"Snakes","Dipsadidae","Apostolepis","Apostolepis tertulianobeui*","Partial",2004,"s","-","general"
"Snakes","Dipsadidae","Apostolepis","Apostolepis vittata","Restricted",1887,"n","-","depression"
"Aves","Passerellidae","Arremon","Arremon flavirostris","Partial",1838,"s","LC","plateau"
"Aves","Furnariidae","Asthenes","Asthenes luizae","Restricted",1990,"s","NT","plateau"
"Snakes","Dipsadidae","Atractus","Atractus albuquerquei","Partial",1983,"n","LC","depression"
"Snakes","Dipsadidae","Atractus","Atractus edioi","Restricted",2005,"n","-","depression"
"Snakes","Dipsadidae","Atractus","Atractus pantostictus*","Partial",1993,"s","-","plateau"
"Snakes","Dipsadidae","Atractus","Atractus spinalis","Restricted",2013,"n","-","plateau"
"Snakes","Dipsadidae","Atractus","Atractus stygius*","Partial",2019,"s","-","depression"
"Aves","Trochilidae","Augastes","Augastes scutatus","Restricted",1824,"s","LC","plateau"
"Lizards","Gymnophthalmidae","Bachia","Bachia bresslaui","Partial",1935,"n","VU","general"
"Lizards","Gymnophthalmidae","Bachia","Bachia cacerensis","Restricted",1998,"n","-","depression"
"Lizards","Gymnophthalmidae","Bachia","Bachia didactyla","Restricted",2011,"n","-","general"
"Lizards","Gymnophthalmidae","Bachia","Bachia geralista","Restricted",2012,"n","-","plateau"
"Lizards","Gymnophthalmidae","Bachia","Bachia micromela","Restricted",2007,"n","-","depression"
"Lizards","Gymnophthalmidae","Bachia","Bachia oxyrhina","Restricted",2008,"n","LC","plateau"
"Lizards","Gymnophthalmidae","Bachia","Bachia psamophila","Restricted",2007,"n","-","depression"
"Amphibians","Craugastoridae","Barycholos","Barycholos ternetzi","Partial",1937,"n","LC","general"
"Amphibians","Hylidae","Boana","Boana botumirim","Restricted",2009,"n","-","plateau"
"Amphibians","Hylidae","Boana","Boana buriti","Restricted",1999,"n","DD","plateau"
"Amphibians","Hylidae","Boana","Boana caiapo*","Restricted",2018,"s","-","depression"
"Amphibians","Hylidae","Boana","Boana cipoensis","Restricted",1968,"n","NT","plateau"
"Amphibians","Hylidae","Boana","Boana ericae","Restricted",2000,"n","DD","plateau"
"Amphibians","Hylidae","Boana","Boana goiana","Restricted",1968,"n","LC","plateau"
"Amphibians","Hylidae","Boana","Boana jaguariaivensis","Restricted",2010,"n","-","plateau"
"Amphibians","Hylidae","Boana","Boana lundii","Partial",1856,"n","LC","plateau"
"Amphibians","Hylidae","Boana","Boana stenocephala","Restricted",1999,"n","DD","plateau"
"Amphibians","Hylidae","Bokermannohyla","Bokermannohyla alvarengai","Restricted",1956,"n","LC","plateau"
"Amphibians","Hylidae","Bokermannohyla","Bokermannohyla ibitiguara","Restricted",1983,"n","DD","plateau"
"Amphibians","Hylidae","Bokermannohyla","Bokermannohyla izecksohni*","Restricted",1979,"s","CR","plateau"
"Amphibians","Hylidae","Bokermannohyla","Bokermannohyla nanuzae","Restricted",1973,"n","LC","plateau"
"Amphibians","Hylidae","Bokermannohyla","Bokermannohyla napolii","Restricted",2012,"n","-","plateau"
"Amphibians","Hylidae","Bokermannohyla","Bokermannohyla pseudopseudis","Partial",1937,"n","-","plateau"
"Amphibians","Hylidae","Bokermannohyla","Bokermannohyla ravida","Restricted",2001,"n","DD","plateau"
"Amphibians","Hylidae","Bokermannohyla","Bokermannohyla sagarana","Restricted",2011,"n","NT","plateau"
"Amphibians","Hylidae","Bokermannohyla","Bokermannohyla sapiranga","Restricted",2012,"n","-","plateau"
"Amphibians","Hylidae","Bokermannohyla","Bokermannohyla saxicola","Restricted",1964,"n","LC","plateau"
"Amphibians","Hylidae","Bokermannohyla","Bokermannohyla sazimai","Restricted",1982,"n","DD","plateau"
"Snakes","Viperidae","Bothrops","Bothrops itapetiningae","Partial",1907,"n","LC","plateau"
"Snakes","Viperidae","Bothrops","Bothrops marmoratus","Partial",2008,"n","-","general"
"Snakes","Viperidae","Bothrops","Bothrops moojeni","Wide",1866,"n","-","depression"
"Snakes","Viperidae","Bothrops","Bothrops pauloensis","Partial",1925,"n","-","plateau"
"Mammals","Cricetidae","Calassomys","Calassomys apicalis","Restricted",2014,"s","-","plateau"
"Mammals","Callithrichidae","Callithrix","Callithrix penicillata","Partial",1812,"s","LC","plateau"
"Mammals","Cricetidae","Calomys","Calomys tocantinsi","Partial",2003,"s","LC","depression"
"Mammals","Echimyidae","Carterodon","Carterodon sulcidens","Partial",1838,"s","DD","general"
"Aves","Picidae","Celeus","Celeus obrieni","Restricted",1973,"s","VU","depression"
"Aves","Thamnophilidae","Cercomacra","Cercomacra ferdinandi","Partial",1928,"s","VU","depression"
"Mammals","Cricetidae","Cerradomys","Cerradomys akroai","Restricted",2014,"s","-","general"
"Mammals","Cricetidae","Cerradomys","Cerradomys marinhus","Partial",2003,"s","LC","plateau"
"Mammals","Cricetidae","Cerradomys","Cerradomys scotti","Wide",2002,"s","LC","general"
"Aves","Thraupidae","Charitospiza","Charitospiza eucosma","Wide",1905,"s","NT","general"
