species,elevation
Anolis meridionalis,572
Anolis meridionalis,403
Anolis meridionalis,610
Anolis meridionalis,687
Anolis meridionalis,400
Anolis meridionalis,601
Anolis meridionalis,154
Anolis meridionalis,203
Anolis meridionalis,155
Anolis meridionalis,197
Anolis meridionalis,368
Anolis meridionalis,489
Anolis meridionalis,284
Anolis meridionalis,434
Anolis meridionalis,343
Antilophia galeata,277
Antilophia galeata,599
Antilophia galeata,611
Antilophia galeata,660
Antilophia galeata,916
Antilophia galeata,1095
Antilophia galeata,1248
Antilophia galeata,920
Antilophia galeata,242
Antilophia galeata,916
Antilophia galeata,582
Antilophia galeata,287
Antilophia galeata,611
Antilophia galeata,311
Antilophia galeata,731
Antilophia galeata,867
Antilophia galeata,897
Antilophia galeata,491
Antilophia galeata,413
Antilophia galeata,614
Antilophia galeata,1016
Antilophia galeata,841
Antilophia galeata,412
Antilophia galeata,706
Antilophia galeata,610
Antilophia galeata,892
Antilophia galeata,541
Antilophia galeata,964
Antilophia galeata,845
Antilophia galeata,304
Antilophia galeata,961
Antilophia galeata,757
Antilophia galeata,357
Antilophia galeata,1123
Antilophia galeata,579
Antilophia galeata,583
Antilophia galeata,597
Antilophia galeata,650
Antilophia galeata,1080
Antilophia galeata,848
Antilophia galeata,888
Antilophia galeata,1219
Antilophia galeata,1067
Antilophia galeata,285
Antilophia galeata,630
Antilophia galeata,198
Antilophia galeata,610
Antilophia galeata,102
Antilophia galeata,424
Antilophia galeata,855
Antilophia galeata,709
Antilophia galeata,1049
Antilophia galeata,1095
Antilophia galeata,310
Antilophia galeata,535
Antilophia galeata,747
Antilophia galeata,914
Antilophia galeata,679
Antilophia galeata,1087
Antilophia galeata,610
Antilophia galeata,667
Antilophia galeata,1112
Antilophia galeata,121
Antilophia galeata,623
Antilophia galeata,442
Antilophia galeata,610
Antilophia galeata,498
Antilophia galeata,459
Antilophia galeata,926
Antilophia galeata,819
Antilophia galeata,609
Antilophia galeata,286
Antilophia galeata,863
Antilophia galeata,327
Antilophia galeata,701
Antilophia galeata,711
Antilophia galeata,761
Antilophia galeata,737
Antilophia galeata,674
Antilophia galeata,912
Antilophia galeata,193
Antilophia galeata,764
Antilophia galeata,572
Antilophia galeata,339
Antilophia galeata,630
Antilophia galeata,599
Antilophia galeata,650
Antilophia galeata,562
Antilophia galeata,691
Antilophia galeata,326
Antilophia galeata,362
Antilophia galeata,878
Antilophia galeata,915
Antilophia galeata,858
Antilophia galeata,826
Antilophia galeata,687
Antilophia galeata,612
Antilophia galeata,907
Antilophia galeata,793
Antilophia galeata,622
Antilophia galeata,807
Antilophia galeata,835
Antilophia galeata,698
Antilophia galeata,457
Antilophia galeata,342
Antilophia galeata,673
Antilophia galeata,303
Antilophia galeata,577
Antilophia galeata,711
Antilophia galeata,402
Antilophia galeata,330
Antilophia galeata,702
Antilophia galeata,718
Antilophia galeata,1045
Antilophia galeata,518
Antilophia galeata,616
Antilophia galeata,492
Antilophia galeata,472
Antilophia galeata,901
Antilophia galeata,922
Antilophia galeata,765
Antilophia galeata,644
Antilophia galeata,609
Antilophia galeata,921
Antilophia galeata,627
Antilophia galeata,797
Antilophia galeata,529
Antilophia galeata,639
Antilophia galeata,609
Antilophia galeata,434
Antilophia galeata,772
Antilophia galeata,814
Antilophia galeata,361
Antilophia galeata,700
Antilophia galeata,665
Antilophia galeata,940
Antilophia galeata,610
Antilophia galeata,611
Antilophia galeata,915
Antilophia galeata,911
Antilophia galeata,880
Antilophia galeata,609
Antilophia galeata,608
Antilophia galeata,669
Antilophia galeata,726
Antilophia galeata,966
Antilophia galeata,884
Antilophia galeata,607
Antilophia galeata,713
Antilophia galeata,688
Antilophia galeata,993
Antilophia galeata,627
Antilophia galeata,618
Antilophia galeata,291
Antilophia galeata,673
Antilophia galeata,915
Antilophia galeata,905
Antilophia galeata,662
Antilophia galeata,458
Antilophia galeata,1077
Antilophia galeata,759
Antilophia galeata,879
Antilophia galeata,474
Antilophia galeata,610
Antilophia galeata,1027
Antilophia galeata,564
Antilophia galeata,79
Antilophia galeata,688
Antilophia galeata,928
Antilophia galeata,318
Antilophia galeata,614
Antilophia galeata,349
Antilophia galeata,884
Antilophia galeata,1099
Antilophia galeata,867
Antilophia galeata,610
Antilophia galeata,113
Antilophia galeata,557
Antilophia galeata,944
Antilophia galeata,464
Antilophia galeata,1073
Antilophia galeata,303
Antilophia galeata,568
Antilophia galeata,401
Antilophia galeata,906
Antilophia galeata,479
Antilophia galeata,303
Antilophia galeata,593
Antilophia galeata,728
Antilophia galeata,864
Antilophia galeata,627
Antilophia galeata,915
Antilophia galeata,867
Antilophia galeata,509
Antilophia galeata,400
Antilophia galeata,239
Antilophia galeata,618
Antilophia galeata,283
Antilophia galeata,742
Antilophia galeata,580
Antilophia galeata,200
Antilophia galeata,134
Antilophia galeata,540
Antilophia galeata,886
Antilophia galeata,392
Antilophia galeata,149
Antilophia galeata,842
Antilophia galeata,1040
Antilophia galeata,929
Antilophia galeata,299
Antilophia galeata,1286
Antilophia galeata,896
Antilophia galeata,276
Antilophia galeata,193
Antilophia galeata,874
Antilophia galeata,1041
Antilophia galeata,887
Antilophia galeata,914
Antilophia galeata,606
Antilophia galeata,909
Antilophia galeata,580
Antilophia galeata,598
Antilophia galeata,274
