species,voucher,series,locality,municipality,state,country,latitude,longitude,elevation
Alipiopsitta xanthops,WikiAves,,,Álvares Florence,SP,Brazil,-20.3215,-49.9114,458
Alipiopsitta xanthops,WikiAves,,,Anápolis,GO,Brazil,-16.3275,-48.9534,917
Alipiopsitta xanthops,WikiAves,,,Angélica,MS,Brazil,-22.1535,-53.7715,305
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Angélica/MS,MS,Brazil,-22.1535,-53.7715,305
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,"APA de Cafuringa, Brazlandia e Sobradinho",DF,Brazil,-15.5333,-48.0667,1095
Alipiopsitta xanthops,WikiAves,,,Aparecida do Taboado,MS,Brazil,-20.0875,-51.0944,340
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Aparecida do Taboado/MS,MS,Brazil,-20.0875,-51.0944,340
Alipiopsitta xanthops,WikiAves,,,Aporé,GO,Brazil,-18.9655,-51.9264,552
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Aporé/GO,GO,Brazil,-18.9655,-51.9264,552
Alipiopsitta xanthops,WikiAves,,,Aquidauana,MS,Brazil,-20.4715,-55.7875,177
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Aquidauana/MS,MS,Brazil,-20.4715,-55.7875,177
Alipiopsitta xanthops,WikiAves,,,Araguaiana,MT,Brazil,-15.7345,-51.8314,283
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Araguaiana/MT,MT,Brazil,-15.7345,-51.8314,283
Alipiopsitta xanthops,WikiAves,,,Araxá,MG,Brazil,-19.5935,-46.9414,1049
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Araxá/MG,MG,Brazil,-19.5935,-46.9414,1049
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Arinos,MG,Brazil,-15.9167,-46.0667,518
Alipiopsitta xanthops,WikiAves,,,Aruanã,GO,Brazil,-14.9205,-51.0834,215
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Aruanã/GO,GO,Brazil,-14.9205,-51.0834,215
Alipiopsitta xanthops,WikiAves,,,Barão de Melgaço,MT,Brazil,-16.2795,-55.9585,140
