Species,Latitude,Longitude,alt
Ameivula mumbuca,-10.2628,-46.5655,458
Ameivula xacriaba*,-15.9175,-46.1064,538
Ameivula xacriaba*,-15.2,-45.8333,750
Ameivula xacriaba*,-14.0167,-44.77,627
Ameivula xacriaba*,-15.1547,-44.305,764
Ameivula xacriaba*,-12.28,-45.08,609
Ameivula xacriaba*,-15.372,-44.485,610
Ameivula xacriaba*,-15.203,-46.231,613
Amphisbaena absaberi,-16.1667,-57.2333,146
Amphisbaena acrobeles,-10.5946,-46.7707,380
Amphisbaena anaemariae,-16.1208,-48.4856,918
Amphisbaena anaemariae,-16.3051,-48.9724,913
Amphisbaena anaemariae,-15.7099,-48.0224,1164
Amphisbaena anaemariae,-15.7667,-47.9167,1089
Amphisbaena anaemariae,-19.035,-47.9169,819
Amphisbaena anaemariae,-16.5541,-48.0218,773
Amphisbaena anaemariae,-18.25,-52.8833,771
Amphisbaena anaemariae,-11.0333,-48.2167,307
Amphisbaena anaemariae,-22.0483,-52.7342,308
Amphisbaena bedai,-20.7677,-55.6076,371
Amphisbaena bedai,-20.4667,-55.7833,180
Amphisbaena bedai,-21.45,-56.1,295
Amphisbaena brevis,-14.9557,-55.8662,400
Amphisbaena carli,-14.7667,-45.9167,880
Amphisbaena carli,-14.0167,-45.9,852
Amphisbaena carli,-14.05,-45.7,777
Amphisbaena carli,-12.7989,-45.4834,700
Amphisbaena crisae,-10.6833,-50.6333,170
Amphisbaena crisae,-11.8333,-50.3333,209
Amphisbaena crisae,-18.25,-52.8833,771
Amphisbaena crisae,-12.9417,-51.8242,469
Amphisbaena cuiabana,-15.4667,-58.35,210
Amphisbaena cuiabana,-13.6667,-57.8833,567
Amphisbaena cuiabana,-15.45,-55.7333,690
Amphisbaena cuiabana,-15.5961,-56.0967,173
Amphisbaena filiformis*,-7.2458,-47.7675,115
Amphisbaena filiformis*,-6.5869,-47.4608,91
Amphisbaena kraoh,-10.7022,-46.4128,610
Amphisbaena kraoh,-10.1891,-48.1085,539
Amphisbaena kraoh,-8.9675,-48.1747,101
Amphisbaena kraoh,-10.5333,-46.4167,549
Amphisbaena leeseri,-20.4667,-55.7833,180
Amphisbaena leeseri,-22.1092,-56.5208,178
Amphisbaena leeseri,-19.0092,-57.6533,92
Amphisbaena leeseri,-19.2167,-57.55,483
Amphisbaena leeseri,-19,-57.65,73
Amphisbaena leeseri,-21.45,-56.1,295
Amphisbaena leeseri,-20.9828,-51.7892,290
