species,elevation,sample
Ameerega flavopicta,1092,306
Ameerega flavopicta,745,287
Ameerega flavopicta,898,304
Ameerega flavopicta,827,393
Ameerega flavopicta,805,393
Ameerega flavopicta,827,393
Ameerega flavopicta,616,350
Ameerega flavopicta,902,306
Ameerega flavopicta,695,283
Ameerega flavopicta,465,303
Ameerega flavopicta,796,304
Ameerega flavopicta,738,328
Ameerega flavopicta,282,303
Ameerega flavopicta,279,303
Ameerega flavopicta,276,303
Ameerega flavopicta,609,331
Ameerega flavopicta,773,285
Ameerega flavopicta,787,350
Ameerega flavopicta,611,331
Ameerega flavopicta,1231,393
Ameerega flavopicta,933,393
Ameerega flavopicta,1231,393
Ameerega flavopicta,313,261
Ameerega flavopicta,604,327
Ameerega picta,309,122
Ameerega picta,397,122
Ameerega picta,304,122
Ameerega picta,397,122
Ameerega picta,260,143
Ameerega picta,303,122
Ameerega picta,353,122
Ameerega picta,524,122
Ameiva jacuba,752,203
Ameiva jacuba,752,203
Ameiva jacuba,760,203
Ameiva jacuba,768,203
Ameiva jacuba,771,203
Ameiva jacuba,398,201
Ameiva jacuba,774,203
Ameiva jacuba,771,203
Ameiva jacuba,772,203
Ameiva jacuba,794,203
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameiva parecis,484,51
Ameivula cipoensis*,1307,392
Ameivula cipoensis*,973,393
Ameivula cipoensis*,973,393
Ameivula cipoensis*,973,393
Ameivula cipoensis*,1254,393
Ameivula cipoensis*,1245,393
Ameivula cipoensis*,902,393
Ameivula cipoensis*,906,393
Ameivula cipoensis*,1093,393
Ameivula cipoensis*,1254,393
Ameivula cipoensis*,908,393
Ameivula cipoensis*,908,393
Ameivula cipoensis*,908,393
Ameivula cipoensis*,1254,393
Ameivula cipoensis*,1093,393
Ameivula jalapensis,389,321
Ameivula jalapensis,357,321
Ameivula mumbuca,660,323
Ameivula mumbuca,660,323
Ameivula mumbuca,660,323
Ameivula mumbuca,660,323
Ameivula mumbuca,660,323
Ameivula mumbuca,660,323
Ameivula mumbuca,660,323
Ameivula mumbuca,660,323
Ameivula mumbuca,660,323
Ameivula mumbuca,660,323
Ameivula mumbuca,660,323
Ameivula mumbuca,660,323
Ameivula mumbuca,660,323
Ameivula mumbuca,660,323
Ameivula mumbuca,660,323
Ameivula mumbuca,660,323
Ameivula mumbuca,660,323
Ameivula mumbuca,660,323
Ameivula mumbuca,660,323
Ameivula mumbuca,660,323
Ameivula mumbuca,660,323
Ameivula mumbuca,660,323
Ameivula mumbuca,660,323
Ameivula mumbuca,660,323
Ameivula mumbuca,660,323
Ameivula mumbuca,660,323
Ameivula mumbuca,660,323
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
Ameivula mumbuca,458,321
