id,left,top,right,bottom,xcoord,ycoord
223,-52.443771362158600,-16.532325744837181,-51.443771362158600,-17.532325744837181,-51.9437713621586,-17.0323257448372
224,-52.443771362158600,-17.532325744837181,-51.443771362158600,-18.532325744837181,-51.9437713621586,-18.0323257448372
225,-52.443771362158600,-18.532325744837181,-51.443771362158600,-19.532325744837181,-51.9437713621586,-19.0323257448372
226,-52.443771362158600,-19.532325744837181,-51.443771362158600,-20.532325744837181,-51.9437713621586,-20.0323257448372
227,-52.443771362158600,-20.532325744837181,-51.443771362158600,-21.532325744837181,-51.9437713621586,-21.0323257448372
228,-52.443771362158600,-21.532325744837181,-51.443771362158600,-22.532325744837181,-51.9437713621586,-22.0323257448372
237,-51.443771362158600,-9.532325744837181,-50.443771362158600,-10.532325744837181,-50.9437713621586,-10.0323257448372
238,-51.443771362158600,-10.532325744837181,-50.443771362158600,-11.532325744837181,-50.9437713621586,-11.0323257448372
239,-51.443771362158600,-11.532325744837181,-50.443771362158600,-12.532325744837181,-50.9437713621586,-12.0323257448372
240,-51.443771362158600,-12.532325744837181,-50.443771362158600,-13.532325744837181,-50.9437713621586,-13.0323257448372
241,-51.443771362158600,-13.532325744837181,-50.443771362158600,-14.532325744837181,-50.9437713621586,-14.0323257448372
242,-51.443771362158600,-14.532325744837181,-50.443771362158600,-15.532325744837181,-50.9437713621586,-15.0323257448372
243,-51.443771362158600,-15.532325744837181,-50.443771362158600,-16.532325744837181,-50.9437713621586,-16.0323257448372
244,-51.443771362158600,-16.532325744837181,-50.443771362158600,-17.532325744837181,-50.9437713621586,-17.0323257448372
245,-51.443771362158600,-17.532325744837181,-50.443771362158600,-18.532325744837181,-50.9437713621586,-18.0323257448372
246,-51.443771362158600,-18.532325744837181,-50.443771362158600,-19.532325744837181,-50.9437713621586,-19.0323257448372
247,-51.443771362158600,-19.532325744837181,-50.443771362158600,-20.532325744837181,-50.9437713621586,-20.0323257448372
248,-51.443771362158600,-20.532325744837181,-50.443771362158600,-21.532325744837181,-50.9437713621586,-21.0323257448372
249,-51.443771362158600,-21.532325744837181,-50.443771362158600,-22.532325744837181,-50.9437713621586,-22.0323257448372
250,-51.443771362158600,-22.532325744837181,-50.443771362158600,-23.532325744837181,-50.9437713621586,-23.0323257448372
256,-50.443771362158600,-7.532325744837180,-49.443771362158600,-8.532325744837182,-49.9437713621586,-8.03232574483718
257,-50.443771362158600,-8.532325744837182,-49.443771362158600,-9.532325744837181,-49.9437713621586,-9.03232574483718
258,-50.443771362158600,-9.532325744837181,-49.443771362158600,-10.532325744837181,-49.9437713621586,-10.0323257448372
259,-50.443771362158600,-10.532325744837181,-49.443771362158600,-11.532325744837181,-49.9437713621586,-11.0323257448372
260,-50.443771362158600,-11.532325744837181,-49.443771362158600,-12.532325744837181,-49.9437713621586,-12.0323257448372
261,-50.443771362158600,-12.532325744837181,-49.443771362158600,-13.532325744837181,-49.9437713621586,-13.0323257448372
262,-50.443771362158600,-13.532325744837181,-49.443771362158600,-14.532325744837181,-49.9437713621586,-14.0323257448372
263,-50.443771362158600,-14.532325744837181,-49.443771362158600,-15.532325744837181,-49.9437713621586,-15.0323257448372
264,-50.443771362158600,-15.532325744837181,-49.443771362158600,-16.532325744837181,-49.9437713621586,-16.0323257448372
265,-50.443771362158600,-16.532325744837181,-49.443771362158600,-17.532325744837181,-49.9437713621586,-17.0323257448372
266,-50.443771362158600,-17.532325744837181,-49.443771362158600,-18.532325744837181,-49.9437713621586,-18.0323257448372
267,-50.443771362158600,-18.532325744837181,-49.443771362158600,-19.532325744837181,-49.9437713621586,-19.0323257448372
268,-50.443771362158600,-19.532325744837181,-49.443771362158600,-20.532325744837181,-49.9437713621586,-20.0323257448372
269,-50.443771362158600,-20.532325744837181,-49.443771362158600,-21.532325744837181,-49.9437713621586,-21.0323257448372
270,-50.443771362158600,-21.532325744837181,-49.443771362158600,-22.532325744837181,-49.9437713621586,-22.0323257448372
271,-50.443771362158600,-22.532325744837181,-49.443771362158600,-23.532325744837181,-49.9437713621586,-23.0323257448372
